Delete              Code,Company             No.,Item                No.,Screen              Code,Field               No
A,100,C-SAMRG,CFR,4
A,100,C-SAMRG,CFR,13
A,100,C-SAMRG,CFR,26
A,100,C-SAMRMB,CFR,4
A,100,C-SAMRMB,CFR,13
A,100,C-SAMRMB,CFR,26
A,100,C-SAMRS,CFR,4
A,100,C-SAMRS,CFR,13
A,100,C-SAMRS,CFR,26
A,100,C-SAMRSS,CFR,4
A,100,C-SAMRSS,CFR,13
A,100,C-SAMRSS,CFR,26
A,100,C-SAMRYG,CFR,4
A,100,C-SAMRYG,CFR,13
A,100,C-SAMRYG,CFR,26
A,100,C-SAMSG,CFR,4
A,100,C-SAMSG,CFR,13
A,100,C-SAMSG,CFR,26
A,100,C-SAMSMB,CFR,4
A,100,C-SAMSMB,CFR,13
A,100,C-SAMSMB,CFR,26
A,100,C-SAMSS,CFR,4
A,100,C-SAMSS,CFR,13
A,100,C-SAMSS,CFR,26
A,100,C-SAMSSS,CFR,4
A,100,C-SAMSSS,CFR,13
A,100,C-SAMSSS,CFR,26
A,100,C-SAMSYG,CFR,4
A,100,C-SAMSYG,CFR,13
A,100,C-SAMSYG,CFR,26
A,100,C-SBMB,CFR,7
A,100,C-SBS,CFR,7
A,100,C-SBSS,CFR,7
A,100,C-SBYG,CFR,7
A,100,C-SCBSS,CFR,7
A,100,C-SDBB,CFR,7
A,100,C-SDBG,CFR,7
A,100,C-SDBS,CFR,7
A,100,C-SDBSS,CFR,7
A,100,C-SDBYG,CFR,7
A,100,C-SDG,CFR,7
A,100,C-SDMB,CFR,7
A,100,C-SDS,CFR,7
A,100,C-SDW11MB,CFR,7
A,100,C-SDW11S,CFR,7
A,100,C-SDW11SS,CFR,7
A,100,C-SDYG,CFR,7
A,100,C-SETSS,CFR,7
A,100,C-SPBVMB,CFR,13
A,100,C-SPBVMB,CFR,26
A,100,C-SPBVS,CFR,13
A,100,C-SPBVS,CFR,26
A,100,C-SPBVSG,CFR,13
A,100,C-SPBVSG,CFR,26
A,100,C-SPBVSS,CFR,13
A,100,C-SPBVSS,CFR,26
A,100,C-SPBVSYG,CFR,13
A,100,C-SPBVSYG,CFR,26
A,100,C-SPBVYG,CFR,13
A,100,C-SPQRS,CFR,13
A,100,C-SPQRS,CFR,26
A,100,C-SPQRSG,CFR,13
A,100,C-SPQRSG,CFR,26
A,100,C-SPQRSS,CFR,13
A,100,C-SPQRSS,CFR,26
A,100,C-SPQRSYG,CFR,13
A,100,C-SPQRSYG,CFR,26
A,100,C-SPQRYG,CFR,13
A,100,C-SWNR.75S,CFR,7
A,100,C-SWNR1.5G,CFR,7
A,100,C-SWNR1.5MB,CFR,7
A,100,C-SWNR1MB,CFR,7
A,100,C-SWNR1S,CFR,7
A,100,C-SWNR1SS,CFR,7
A,100,C-SWNR15G,CFR,7
A,100,C-SWNR15MB,CFR,7
A,100,C-SWNR15SS,CFR,7
A,100,C-SWNR2.5MB,CFR,7
A,100,C-SWNR2.5SS,CFR,7
A,100,C-SWNR2G,CFR,7
A,100,C-SWNR2MB,CFR,7
A,100,C-SWNR2S,CFR,7
A,100,C-SWNR2SS,CFR,7
A,100,C-SWNR2YG,CFR,7
A,100,C-SWNR3MB,CFR,7
A,100,C-SWNR3SS,CFR,7
A,100,C-SWNR4MB,CFR,7
A,100,C-SWNR4SS,CFR,7
A,100,C-SWR2G,CFR,7
A,100,C-SWR2MB,CFR,7
A,100,C-SWR2S,CFR,7
A,100,C-SW218G,CFR,7
A,100,C-SW218MB,CFR,7
A,100,C-SW218S,CFR,7
A,100,C-SW218YG,CFR,7
A,100,C-SW318G,CFR,7
A,100,C-SW318MB,CFR,7
A,100,C-SW318S,CFR,7
A,100,C-SW318SS,CFR,7
A,100,C-SW318YG,CFR,7
A,100,C-100S-BL,AFR,3
A,100,C-100S-BL,AFR,4
A,100,C-100S-BL,AFR,29
A,100,C-100S-S,AFR,3
A,100,C-100S-S,AFR,4
A,100,C-100S-S,AFR,29
A,100,C-200S-BL,AFR,3
A,100,C-200S-BL,AFR,4
A,100,C-200S-BL,AFR,29
A,100,C-200S-S,AFR,3
A,100,C-200S-S,AFR,4
A,100,C-200S-S,AFR,29
A,100,C-SAMSBR,CFR,4
A,100,C-SAMSBR,CFR,13
A,100,C-SAMSBR,CFR,26
A,100,C-SPBVBR,CFR,13
A,100,C-SPBVBR,CFR,26
A,100,C-SAMRBR,CFR,4
A,100,C-SAMRBR,CFR,13
A,100,C-SAMRBR,CFR,26
A,100,C-S2SJB,CFR,7
A,100,C-S2SJSS,CFR,7
A,100,C-S2SJS,CFR,7
A,100,C-SQSSS,CFR,4
A,100,C-SQSSS,CFR,13
A,100,C-SQSSS,CFR,26
A,100,C-SWNR2MB18,CFR,7
A,100,C-SWNR3YG,CFR,7
