Delete              Code,Company             No.,Item                No.,Screen              Code,Field               No,Back Code,Field               No,Back Code,Field               No,Back Code,Field               No,Back Code,Raw Material,Divider Material,Hardware,Plastic Backer,Addl Material,Creation            Date,Creation            Time,Creation            User,Last                Change              Date,Last                Change              Time,Last                Change              User
A,100,C-SAMRG,CFR,4,1,13,3,0,,0,,SAM116160RG,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,1,13,5,0,,0,,SAM116160RG,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,1,13,3,26,1,0,,SAM116160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,1,13,5,26,1,0,,SAM116160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,2,13,3,0,,0,,SAM18160RG,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,2,13,5,0,,0,,SAM18160RG,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,2,13,3,26,1,0,,SAM18160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,2,13,5,26,1,0,,SAM18160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,2,13,3,26,2,0,,SAM18160RG,SAM18160RG,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRG,CFR,4,2,13,5,26,2,0,,SAM18160RG,SAM18160RG,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,1,13,3,0,,0,,SAM116160B,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,1,13,5,0,,0,,SAM116160B,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,1,13,3,26,1,0,,SAM116160B,SAM116160B,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,1,13,5,26,1,0,,SAM116160B,SAM116160B,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,2,13,3,0,,0,,SAM18160B,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,2,13,5,0,,0,,SAM18160B,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,2,13,3,26,1,0,,SAM18160B,SAM116160B,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,2,13,5,26,1,0,,SAM18160B,SAM116160B,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,2,13,3,26,2,0,,SAM18160B,SAM18160B,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRMB,CFR,4,2,13,5,26,2,0,,SAM18160B,SAM18160B,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,1,13,3,0,,0,,SAM116160BS,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,1,13,5,0,,0,,SAM116160BS,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,1,13,3,26,1,0,,SAM116160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,1,13,5,26,1,0,,SAM116160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,2,13,3,0,,0,,SAM18160BS,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,2,13,5,0,,0,,SAM18160BS,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,2,13,3,26,1,0,,SAM18160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,2,13,5,26,1,0,,SAM18160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,2,13,3,26,2,0,,SAM18160BS,SAM18160BS,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRS,CFR,4,2,13,5,26,2,0,,SAM18160BS,SAM18160BS,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,1,13,3,0,,0,,SAM116160S,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,1,13,5,0,,0,,SAM116160S,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,1,13,3,26,1,0,,SAM116160S,SAM116160S,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,1,13,5,26,1,0,,SAM116160S,SAM116160S,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,2,13,3,0,,0,,SAM18160S,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,2,13,5,0,,0,,SAM18160S,,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,2,13,3,26,1,0,,SAM18160S,SAM116160S,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,2,13,5,26,1,0,,SAM18160S,SAM116160S,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,2,13,3,26,2,0,,SAM18160S,SAM18160S,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRSS,CFR,4,2,13,5,26,2,0,,SAM18160S,SAM18160S,,ABS-SHT-BLACK-1/8,2,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,1,13,5,0,,0,,SAM116160YG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,1,13,3,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,1,13,5,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,2,13,3,0,,0,,SAM116160YG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,2,13,5,0,,0,,SAM116160YG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,2,13,3,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
